code,description
"799","Clinic Other final claim for a home"
"811","Special Facility Hospice (Non-Hospital Based) admit through discharge"
"812","Special Facility Hospice (Non-Hospital Based) interim - first claim"
"813","Special Facility Hospice (Non-Hospital Based) interim - continuing claims"
"814","Special Facility Hospice (Non-Hospital Based) interim - last claim"
"815","Special Facility Hospice (Non-Hospital Based) late charge only"
"817","Special Facility Hospice (Non-Hospital Based) replacement of prior claim"
"818","Special Facility Hospice (Non-Hospital Based) void/cancel of a prior claim"
"819","Special Facility Hospice (Non-Hospital Based) final claim for a home"
"821","Special Facility Hospice (Hospital-Based) admit through discharge"
"822","Special Facility Hospice (Hospital-Based) interim - first claim"
"823","Special Facility Hospice (Hospital-Based) interim - continuing claims"
"824","Special Facility Hospice (Hospital-Based) interim - last claim"
"825","Special Facility Hospice (Hospital-Based) late charge only"
"827","Special Facility Hospice (Hospital-Based) replacement of prior claim"
"828","Special Facility Hospice (Hospital-Based) void/cancel of a prior claim"
"829","Special Facility Hospice (Hospital-Based) final claim for a home"
"831","Special Facility Ambulatory Surgery Center admit through discharge"
"832","Special Facility Ambulatory Surgery Center interim - first claim"
"833","Special Facility Ambulatory Surgery Center interim - continuing claims"
"834","Special Facility Ambulatory Surgery Center interim - last claim"
"835","Special Facility Ambulatory Surgery Center late charge only"
"837","Special Facility Ambulatory Surgery Center replacement of prior claim"
"838","Special Facility Ambulatory Surgery Center void/cancel of a prior claim"
"839","Special Facility Ambulatory Surgery Center final claim for a home"
"841","Special Facility Free Standing Birthing Center admit through discharge"
"842","Special Facility Free Standing Birthing Center interim - first claim"
"843","Special Facility Free Standing Birthing Center interim - continuing claims"
"844","Special Facility Free Standing Birthing Center interim - last claim"
"845","Special Facility Free Standing Birthing Center late charge only"
"847","Special Facility Free Standing Birthing Center replacement of prior claim"
"848","Special Facility Free Standing Birthing Center void/cancel of a prior claim"
"849","Special Facility Free Standing Birthing Center final claim for a home"
"891","Special Facility Other admit through discharge"
"892","Special Facility Other interim - first claim"
"893","Special Facility Other interim - continuing claims"
"894","Special Facility Other interim - last claim"
"895","Special Facility Other late charge only"
"897","Special Facility Other replacement of prior claim"
"898","Special Facility Other void/cancel of a prior claim"
"899","Special Facility Other final claim for a home"
